,Unnamed: 0,lat,lon,POLYGON,portion
0,0.0,-86.60246501699223,33.74883939255586,P1,1
1,1.0,-86.60229206402205,33.74880552769959,P1,1
2,2.0,-86.60228621561676,33.748829606375196,P1,1
3,3.0,-86.60246501699223,33.74883939255586,P1,1
4,0.0,-86.61439783939528,33.73943481309686,P1,2
5,1.0,-86.61400378385197,33.73944225039581,P1,2
6,2.0,-86.61314225528847,33.73945850544282,P1,2
7,3.0,-86.61294553704117,33.73946221623482,P1,2
8,4.0,-86.61439783939528,33.73943481309686,P1,2
9,0.0,-86.59916235508966,33.75118900023074,P1,3
10,1.0,-86.60149422687532,33.75214078463296,P1,3
11,2.0,-86.60030449637242,33.75328292591587,P1,3
12,3.0,-86.6018451973739,33.758862761974456,P1,3
13,4.0,-86.60195227311901,33.76145637447081,P1,3
14,5.0,-86.60328477128235,33.76368117051135,P1,3
15,6.0,-86.60547387540765,33.76551335548578,P1,3
16,7.0,-86.6064375571151,33.76782143266155,P1,3
17,8.0,-86.60820351375834,33.770418217772544,P1,3
18,9.0,-86.60903652635801,33.77097530766395,P1,3
19,10.0,-86.60929468474842,33.770872599487056,P1,3
20,11.0,-86.60917772458043,33.7704628326664,P1,3
21,12.0,-86.60861855124409,33.76954674017918,P1,3
22,13.0,-86.60775004797705,33.76717917647835,P1,3
23,14.0,-86.60534679236109,33.76306270893838,P1,3
24,15.0,-86.60397860228271,33.76194436226552,P1,3
25,16.0,-86.6034908127766,33.76012407459609,P1,3
26,17.0,-86.60316958554073,33.75791117586073,P1,3
27,18.0,-86.60283646099992,33.75556740676996,P1,3
28,19.0,-86.60305061249039,33.75402075711605,P1,3
29,20.0,-86.60389532114756,33.752854821223195,P1,3
30,21.0,-86.6043831106537,33.75146283653476,P1,3
31,22.0,-86.60504935973533,33.74947598659492,P1,3
32,23.0,-86.60554904654656,33.74690616870862,P1,3
33,24.0,-86.60362168313196,33.74510967564925,P1,3
34,25.0,-86.60514453817564,33.74399132897651,P1,3
35,26.0,-86.60664359860937,33.74275400925342,P1,3
36,27.0,-86.60767509495531,33.741440546778286,P1,3
37,28.0,-86.60851385495981,33.74112645792536,P1,3
38,29.0,-86.60987371692477,33.74055538728413,P1,3
39,30.0,-86.61109081122919,33.73978087272673,P1,3
40,31.0,-86.61221510655444,33.73893854353065,P1,3
41,32.0,-86.61275762366375,33.73844956429383,P1,3
42,33.0,-86.61278974638736,33.73878506829567,P1,3
43,34.0,-86.61280045396194,33.73942395357579,P1,3
44,35.0,-86.61303602060156,33.739534598512584,P1,3
45,36.0,-86.6130931276657,33.73975588838613,P1,3
46,37.0,-86.61387549444436,33.74053397213498,P1,3
47,38.0,-86.61434662772359,33.74081950745574,P1,3
48,39.0,-86.61614550024382,33.740776677157676,P1,3
49,40.0,-86.6175017930172,33.740962275116146,P1,3
50,41.0,-86.61882953225842,33.74106221247837,P1,3
51,42.0,-86.61962903115648,33.73983441059937,P1,3
52,43.0,-86.61954337056022,33.73850667135798,P1,3
53,44.0,-86.61845833634152,33.73769289569407,P1,3
54,45.0,-86.61731619505873,33.73787849365254,P1,3
55,46.0,-86.61483203776869,33.73806409161091,P1,3
56,47.0,-86.61388977121044,33.73822113603723,P1,3
57,48.0,-86.61354712882553,33.737978431014774,P1,3
58,49.0,-86.61468927010834,33.737393083607394,P1,3
59,50.0,-86.6153745548781,33.73633660292069,P1,3
60,51.0,-86.6167308476513,33.73420936478141,P1,3
61,52.0,-86.6175160697832,33.73223917106873,P1,3
62,53.0,-86.61922928170748,33.73139684187265,P1,3
63,54.0,-86.62129941278243,33.72909828254097,P1,3
64,55.0,-86.62201325108423,33.72757066857531,P1,3
65,56.0,-86.62198469755221,33.72620009903585,P1,3
66,57.0,-86.62199897431816,33.724815252730544,P1,3
67,58.0,-86.6221560187446,33.72270229135734,P1,3
68,59.0,-86.6224986611295,33.72215977424787,P1,3
69,60.0,-86.62189903695601,33.72173147126688,P1,3
70,61.0,-86.62069978860904,33.7216600874367,P1,3
71,62.0,-86.62064268154491,33.72611443843977,P1,3
72,63.0,-86.61955764732625,33.72908400577489,P1,3
73,64.0,-86.61584568815715,33.73182514485364,P1,3
74,65.0,-86.61453222568201,33.73416653448339,P1,3
75,66.0,-86.61409059771927,33.735827398265535,P1,3
76,67.0,-86.61194908281395,33.73737404791922,P1,3
77,68.0,-86.60952203258795,33.73784994012038,P1,3
78,69.0,-86.60790399910404,33.739325205944056,P1,3
79,70.0,-86.60738051768276,33.73970591970499,P1,3
80,71.0,-86.60595284107922,33.74108600708837,P1,3
81,72.0,-86.60457275369595,33.74220435376111,P1,3
82,73.0,-86.60347820163315,33.7434416734842,P1,3
83,74.0,-86.60178878431901,33.74496452852787,P1,3
84,75.0,-86.60052766998609,33.74536903689886,P1,3
85,76.0,-86.59893343111206,33.746606356621946,P1,3
86,77.0,-86.5984337443009,33.74751055180417,P1,3
87,78.0,-86.59774370060914,33.74691568655271,P1,3
88,79.0,-86.59393656299993,33.74772470329469,P1,3
89,80.0,-86.59312754625792,33.748747871527144,P1,3
90,81.0,-86.59205678880535,33.7501755481307,P1,3
91,82.0,-86.59148571816387,33.74981862897977,P1,3
92,83.0,-86.59134295050355,33.747748497904695,P1,3
93,84.0,-86.59153330738388,33.74643979435149,P1,3
94,85.0,-86.59091464752254,33.74265645135227,P1,3
95,86.0,-86.59015322000063,33.738587573032305,P1,3
96,87.0,-86.58984389006973,33.73694574493823,P1,3
97,88.0,-86.5889634894977,33.7369933341584,P1,3
98,89.0,-86.5890348733278,33.73975350892505,P1,3
