,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,Unnamed: 0,PolyLK
11,07/09/2020 00:36:06.740,2.0059299999999998,5.412999999999999,0.86,0.008,0.043,50.0,6,0.0,1,33.676338200000004,-86.69705963,P21,11,11,P21L11
12,07/09/2020 00:51:19.124,2.18677,1.756,0.893,0.006999999999999999,0.218,115.8,8,7.1,1,33.65864563,-86.71552277,P21,12,12,P21L12
13,07/11/2020 00:19:00.353,2.47471,0.8640000000000001,0.782,0.006,0.35700000000000004,138.8,15,11.0,1,33.67083359,-86.70847321,P21,13,13,P21L13
14,07/11/2020 00:25:48.315,2.2718700000000003,-1.182,0.775,0.008,0.247,69.5,5,3.1,1,33.67612076,-86.70471954,P21,14,14,P21L14
15,07/11/2020 00:48:06.580,2.50861,5.542000000000001,0.9590000000000001,0.006999999999999999,0.523,37.8,9,2.4,1,33.68218613,-86.69122314,P21,15,15,P21L15
16,07/13/2020 22:58:22.812,2.2341,11.812000000000001,0.887,0.006999999999999999,0.27,227.3,24,11.6,1,33.68378448,-86.69483185,P21,16,16,P21L16
17,07/13/2020 23:09:54.422,2.0049900000000003,8.467,0.7340000000000001,0.006999999999999999,0.039,20.0,6,0.1,1,33.6644783,-86.71746826,P21,17,17,P21L17
18,07/13/2020 23:19:06.768,2.1743900000000003,4.107,0.838,0.019,0.19899999999999998,158.6,22,4.0,1,33.67844009,-86.70471191,P21,18,18,P21L18
0,07/01/2020 03:37:48.561,2.0601599999999998,10.753,0.903,0.015,0.115,132.0,16,0.9,4,33.65103912,-86.68325806,P23,0,0,P23L0
1,07/01/2020 02:28:25.284,3.35031,17.738,0.993,0.006,1.422,113.8,16,24.2,2,33.65594101,-86.68289948,P23,1,1,P23L1
2,07/07/2020 00:01:26.347,5.68126,6.152,0.992,0.002,3.7510000000000003,178.3,23,30.2,4,33.65553284,-86.69728851,P23,2,2,P23L2
3,07/07/2020 00:00:57.675,2.47297,2.036,0.915,0.005,0.5429999999999999,157.2,15,16.0,3,33.65505219,-86.6984787,P23,3,3,P23L3
4,07/01/2020 03:11:15.627,2.3624400000000003,13.196,0.877,0.006999999999999999,0.39799999999999996,90.1,10,2.7,1,33.65534973,-86.69850159,P23,4,4,P23L4
5,07/01/2020 03:13:56.497,3.71654,14.234000000000002,0.963,0.002,1.786,152.4,18,27.7,3,33.6532402,-86.69817352,P23,5,5,P23L5
6,07/02/2020 03:56:33.012,2.26523,0.884,0.878,0.009000000000000001,0.314,160.6,11,4.0,3,33.65233231,-86.70053101,P23,6,6,P23L6
7,07/01/2020 03:35:56.945,4.40231,15.959000000000001,0.973,0.002,2.465,168.3,20,24.1,3,33.64936066,-86.68881226,P23,7,7,P23L7
8,07/02/2020 02:49:44.257,2.70361,14.404000000000002,0.95,0.006,0.743,105.4,11,10.2,3,33.65959167,-86.68556976,P23,8,8,P23L8
9,07/02/2020 03:05:38.318,2.94279,4.351,0.955,0.004,0.9690000000000001,140.7,14,11.4,2,33.65117645,-86.68998718,P23,9,9,P23L9
10,07/06/2020 23:45:28.497,2.06438,0.752,0.8390000000000001,0.013999999999999999,0.145,181.2,18,2.5,2,33.65719604,-86.69108582,P23,10,10,P23L10
11,07/02/2020 03:25:38.446,12.5721,67.001,1.0,0.006,10.634,42.8,14,65.3,3,33.65731049,-86.69541931,P23,11,11,P23L11
12,07/01/2020 02:29:22.628,2.0531900000000003,10.133,0.805,0.017,0.125,38.7,9,0.3,1,33.65537262,-86.68725586,P23,12,12,P23L12
13,07/01/2020 03:03:04.516,2.07491,12.251,0.9179999999999999,0.025,0.12300000000000001,116.1,14,1.5,1,33.65378189,-86.704422,P23,13,13,P23L13
14,07/01/2020 03:04:01.963,2.1655900000000003,11.825,0.812,0.006999999999999999,0.207,108.5,11,1.9,1,33.65384674,-86.69850922,P23,14,14,P23L14
15,07/01/2020 03:06:05.969,2.39399,11.745,0.8190000000000001,0.004,0.435,90.7,10,3.6,1,33.65618896,-86.70419312,P23,15,15,P23L15
16,07/01/2020 03:10:04.971,2.08128,10.193999999999999,0.8079999999999999,0.011000000000000001,0.11699999999999999,81.8,8,0.8,1,33.6546402,-86.6995697,P23,16,16,P23L16
17,07/01/2020 03:19:10.046,2.9432400000000003,12.755,0.895,0.003,1.005,205.0,14,31.3,1,33.64934158,-86.68682098,P23,17,17,P23L17
