,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,PolyLK,Unnamed: 0,win
109,07/18/2020 23:47:46.555,2.2962599999999997,12.183,0.763,0.004,0.34700000000000003,201.6,14,4.3,1,33.61985397,-86.69922638,P27,11,P27L11,109,
110,07/19/2020 00:09:08.808,1.9910700000000001,5.239,0.8270000000000001,0.009000000000000001,0.019,14.1,6,0.1,1,33.62869644,-86.69972992,P27,12,P27L12,110,
111,07/19/2020 00:09:17.000,2.1332400000000002,5.664,0.757,0.009000000000000001,0.161,119.7,10,2.0,1,33.62903595,-86.69894409,P27,13,P27L13,111,
112,07/19/2020 00:28:23.572,2.0731900000000003,0.26899999999999996,0.807,0.012,0.10300000000000001,70.9,10,0.5,1,33.62908936,-86.7036438,P27,14,P27L14,112,
113,07/19/2020 00:30:03.924,2.03567,-1.216,0.754,0.01,0.066,61.3,5,0.2,1,33.63077927,-86.70342255,P27,15,P27L15,113,
114,07/19/2020 00:41:25.294,3.23707,5.332999999999998,0.987,0.005,1.276,155.5,18,24.4,1,33.62809372,-86.69661713,P27,16,P27L16,114,
115,07/22/2020 00:50:55.190,2.2894400000000004,9.859,0.92,0.008,0.34,0.4,14,0.1,1,33.62531281,-86.68681335,P27,17,P27L17,115,
116,07/22/2020 01:06:33.686,2.02766,6.021,0.9359999999999999,0.065,0.077,75.8,9,0.3,1,33.63237,-86.69763184,P27,18,P27L18,116,
117,07/19/2020 01:48:35.963,4.43308,11.155999999999999,0.997,0.005,2.454,280.0,24,28.9,6,33.62434769,-86.68717194,P28,0,P28L0,117,
118,07/14/2020 23:27:34.456,2.86963,7.854,0.986,0.006999999999999999,0.87,171.6,18,10.9,4,33.62331009,-86.69120789,P28,1,P28L1,118,
119,07/14/2020 23:39:29.617,3.45683,3.997,0.991,0.004,1.443,191.3,21,43.1,2,33.62065506,-86.69376373,P28,2,P28L2,119,
120,07/19/2020 01:56:04.577,2.83872,9.606,0.963,0.008,0.84,173.9,12,31.4,3,33.61411667,-86.6895752,P28,3,P28L3,120,
121,07/19/2020 01:50:19.387,2.45288,2.9189999999999996,0.9470000000000001,0.008,0.474,301.6,17,12.2,2,33.61775589,-86.68854523,P28,4,P28L4,121,
122,07/19/2020 01:47:09.947,6.40911,20.859,0.9990000000000001,0.005,4.396,185.4,13,46.6,5,33.62015152,-86.68718719,P28,5,P28L5,122,
123,07/22/2020 00:24:56.150,2.8260099999999997,4.723,0.94,0.003,0.828,135.1,13,14.5,1,33.61962509,-86.68714905,P28,6,P28L6,123,
124,07/19/2020 01:20:33.940,2.13314,5.5089999999999995,0.976,0.064,0.14800000000000002,319.2,28,11.7,3,33.6188736,-86.69554138,P28,7,P28L7,124,
125,07/19/2020 01:33:30.235,4.50249,17.502,0.995,0.006999999999999999,2.535,145.6,18,32.2,3,33.61834335,-86.68871307,P28,8,P28L8,125,
126,07/19/2020 01:43:37.979,2.10392,-0.634,0.818,0.011000000000000001,0.132,92.7,7,1.9,2,33.621650700000004,-86.68994904,P28,9,P28L9,126,
127,07/19/2020 01:43:28.763,2.2321400000000002,-0.251,0.795,0.006999999999999999,0.26,138.7,11,8.8,4,33.62163925,-86.69126129,P28,10,P28L10,127,
128,07/22/2020 00:17:45.763,2.89628,6.529,0.9390000000000001,0.004,0.8759999999999999,158.2,15,11.3,2,33.60844421,-86.68926239,P28,11,P28L11,128,
129,07/19/2020 02:01:07.374,3.5499199999999997,13.299000000000001,0.992,0.006999999999999999,1.561,123.3,12,18.4,2,33.62097168,-86.69176483,P28,12,P28L12,129,
130,07/14/2020 23:19:24.984,2.97681,13.806,0.9670000000000001,0.006,0.9209999999999999,215.5,15,15.6,1,33.63186646,-86.67778015,P28,13,P28L13,130,
131,07/14/2020 23:57:28.606,2.1375599999999997,8.341000000000001,0.988,0.065,0.128,20.3,10,0.2,1,33.61433792,-86.68809509,P28,14,P28L14,131,
132,07/14/2020 23:58:09.566,2.14142,2.148,0.884,0.013000000000000001,0.127,228.1,13,1.8,1,33.61029434,-86.68836212,P28,15,P28L15,132,
133,07/15/2020 00:10:38.417,2.31013,1.8159999999999998,0.813,0.006999999999999999,0.29600000000000004,141.3,14,1.9,1,33.61548996,-86.68991852,P28,16,P28L16,133,
134,07/15/2020 00:12:26.961,2.0385400000000002,0.872,0.784,0.023,0.027000000000000003,67.1,6,0.0,1,33.61791992,-86.69006348,P28,17,P28L17,134,
135,07/15/2020 00:13:29.425,2.53045,3.888,0.9329999999999999,0.006,0.519,170.4,15,12.7,1,33.61363602,-86.69115448,P28,18,P28L18,135,
136,07/15/2020 00:17:04.465,2.1667099999999997,1.8019999999999998,0.847,0.006,0.147,69.5,8,0.9,1,33.61738968,-86.6860199,P28,19,P28L19,136,
137,07/15/2020 00:23:52.529,2.09496,1.87,0.83,0.031,0.055999999999999994,87.0,8,0.3,1,33.61966705,-86.68979645,P28,20,P28L20,137,
138,07/19/2020 01:11:16.884,6.15829,18.33,0.998,0.004,4.18,310.2,28,56.8,1,33.61503983,-86.69955444,P28,21,P28L21,138,
139,07/19/2020 01:22:14.292,2.18356,0.27899999999999997,0.887,0.011000000000000001,0.193,105.9,14,2.8,1,33.61969757,-86.69431305,P28,22,P28L22,139,
140,07/19/2020 01:35:01.371,2.11068,0.745,0.898,0.015,0.141,60.3,11,0.9,1,33.61835098,-86.68947601,P28,23,P28L23,140,
141,07/19/2020 01:45:55.195,2.13742,-0.247,0.778,0.011000000000000001,0.142,38.4,10,0.3,1,33.61870193,-86.68553925,P28,24,P28L24,141,
142,07/21/2020 23:38:46.128,2.0929900000000004,2.146,0.738,0.024,0.064,26.9,5,0.1,1,33.62217331,-86.69248199,P28,25,P28L25,142,
143,07/21/2020 23:44:41.763,2.40243,3.301,0.9470000000000001,0.005,0.38,116.7,15,3.8,1,33.62642288,-86.69683838,P28,26,P28L26,143,
144,07/21/2020 23:48:30.115,2.08812,4.228,0.882,0.052000000000000005,0.055999999999999994,120.5,16,0.4,1,33.62109756,-86.69304657,P28,27,P28L27,144,
145,07/22/2020 00:11:18.486,2.31613,5.05,0.769,0.006999999999999999,0.315,138.8,13,4.0,1,33.61358643,-86.69039154,P28,28,P28L28,145,
146,07/22/2020 00:14:37.347,2.09875,3.903,0.7509999999999999,0.013000000000000001,0.083,23.0,5,0.2,1,33.61847305,-86.69004822,P28,29,P28L29,146,
147,07/22/2020 00:24:41.814,2.45509,5.027,0.9,0.005,0.457,59.9,6,2.0,1,33.62018204,-86.68774414,P28,30,P28L30,147,
148,07/21/2020 23:06:08.342,3.2786199999999996,8.809,0.965,0.004,1.287,243.3,15,48.4,4,33.63192368,-86.67787170000004,P29,0,P29L0,148,
149,07/21/2020 23:20:08.227,2.7982400000000003,3.727,0.7759999999999999,0.003,0.799,82.3,13,6.9,3,33.627025599999996,-86.67804718,P29,1,P29L1,149,
150,07/21/2020 22:29:05.238,2.0499,13.823,0.95,0.042,0.08800000000000001,37.5,25,0.2,1,33.63500595,-86.68444824,P29,2,P29L2,150,
151,07/21/2020 23:15:01.846,3.35585,9.204,0.975,0.005,1.359,126.3,17,9.1,1,33.62619781,-86.67738342,P29,3,P29L3,151,
152,07/22/2020 23:50:01.736,1.91698,13.749,0.958,0.086,0.066,13.4,15,0.1,1,33.60812759,-86.68951416,P29,4,P29L4,152,
153,07/23/2020 00:01:48.603,2.07916,6.256,0.846,0.008,0.248,131.5,21,2.1,1,33.6268425,-86.67362976,P29,5,P29L5,153,
154,07/23/2020 00:38:38.292,2.4463,6.266,0.9440000000000001,0.005,0.573,123.8,24,3.7,1,33.62014389,-86.68478394,P29,6,P29L6,154,
155,07/24/2020 23:19:17.940,2.57409,5.728,0.941,0.005,0.7040000000000001,77.6,16,4.1,1,33.62251663,-86.66819,P29,7,P29L7,155,
156,07/21/2020 02:40:19.324,2.93542,-0.977,0.986,0.006,0.96,214.1,27,29.3,11,33.62792969,-86.6844101,P30,0,P30L0,156,
157,07/21/2020 01:31:50.729,2.28668,2.386,0.86,0.006999999999999999,0.31,110.1,13,2.2,3,33.63215637,-86.68853759999998,P31,0,P31L0,157,
158,07/21/2020 01:29:09.756,2.10997,1.5830000000000002,0.871,0.01,0.121,44.6,5,0.6,1,33.63207245,-86.68913269,P31,1,P31L1,158,
159,07/21/2020 00:57:47.747,2.0238400000000003,14.794,0.757,0.077,0.022000000000000002,1.8,5,0.1,1,33.63502121,-86.68392944,P31,2,P31L2,159,
160,07/21/2020 01:18:37.539,2.3095,4.0710000000000015,0.8029999999999999,0.006999999999999999,0.315,210.3,19,2.9,1,33.634838099999996,-86.68846893,P31,3,P31L3,160,
161,07/21/2020 01:20:19.222,2.40291,3.279,0.9129999999999999,0.005,0.408,197.4,18,4.5,1,33.6338501,-86.69187164,P31,4,P31L4,161,
162,07/21/2020 01:29:57.884,2.0726,1.932,0.8959999999999999,0.021,0.083,113.0,12,0.8,1,33.63215256,-86.69064331,P31,5,P31L5,162,
163,07/21/2020 01:32:10.185,2.27033,2.6319999999999997,0.9129999999999999,0.009000000000000001,0.294,162.9,15,6.1,1,33.63251877,-86.68850708,P31,6,P31L6,163,
164,07/21/2020 01:35:20.649,2.34301,2.282,0.943,0.006999999999999999,0.355,154.9,15,3.5,1,33.63523483,-86.68843842,P31,7,P31L7,164,
165,07/23/2020 02:35:17.640,2.01769,21.415,0.986,0.069,0.131,0.7,34,0.1,1,33.63820267,-86.68296814,P31,8,P31L8,165,
166,07/23/2020 02:36:22.152,1.9622099999999998,18.248,0.9159999999999999,0.096,0.075,1.1,20,0.1,1,33.63838577,-86.68357086,P31,9,P31L9,166,
167,07/25/2020 01:27:21.320,1.9976900000000002,13.592,0.903,0.042,0.071,182.5,25,0.9,1,33.63618851,-86.68724823,P31,10,P31L10,167,
168,07/25/2020 01:39:20.475,2.0152,6.087999999999999,0.841,0.017,0.11599999999999999,117.4,10,1.0,1,33.62872696,-86.69322968,P31,11,P31L11,168,
169,07/25/2020 02:00:17.332,2.35616,4.083,0.795,0.005,0.419,89.5,12,2.8,1,33.63847733,-86.68860626,P31,12,P31L12,169,
170,07/08/2020 22:55:06.708,2.2702,17.835,0.988,0.018000000000000002,0.277,321.5,14,4.3,3,33.641532899999994,-86.724823,P19,0,P19L0,170,
171,07/08/2020 23:00:16.980,2.30348,14.539,0.8440000000000001,0.01,0.29,309.1,14,56.4,2,33.61488342,-86.74195862,P19,1,P19L1,171,
172,07/10/2020 22:29:22.484,2.2103200000000003,1.285,0.7929999999999999,0.006,0.325,211.7,12,37.9,2,33.60791016,-86.74339294,P19,2,P19L2,172,
173,07/10/2020 22:35:52.936,2.1884,3.0810000000000004,0.903,0.006999999999999999,0.293,185.4,7,12.7,1,33.64453888,-86.7223587,P19,3,P19L3,173,
174,07/10/2020 22:35:57.032,2.21506,3.1660000000000004,0.807,0.004,0.32,198.9,9,17.4,2,33.64520264,-86.72180176,P19,4,P19L4,174,
175,07/08/2020 23:02:18.836,2.2065200000000003,11.618,0.753,0.013,0.163,78.6,5,2.2,1,33.60208893,-86.73505402,P19,5,P19L5,175,
176,07/10/2020 22:22:08.308,2.07298,0.3670000000000001,0.809,0.011,0.166,183.2,10,7.2,1,33.64408875,-86.72297668,P19,6,P19L6,176,
177,07/10/2020 22:30:09.588,1.97805,2.399,0.852,0.02,0.093,303.3,16,3.2,1,33.61267853,-86.74315643,P19,7,P19L7,177,
178,07/10/2020 22:31:02.836,1.9148,0.907,0.76,0.015,0.03,158.2,7,0.6,1,33.62131882,-86.73635101,P19,8,P19L8,178,
179,07/10/2020 22:32:09.601,2.01363,1.982,0.88,0.014,0.12,236.1,14,1.1,1,33.63178635,-86.72901154,P19,9,P19L9,179,
180,07/10/2020 22:36:27.752,2.02555,4.456,0.8290000000000001,0.016,0.131,309.4,14,9.7,1,33.65004349,-86.71764374,P19,10,P19L10,180,
181,07/10/2020 22:40:02.792,1.96425,3.994,0.779,0.013,0.055,124.2,5,0.7,1,33.6241951,-86.73412323,P19,11,P19L11,181,
182,07/10/2020 22:41:50.312,2.0611900000000003,7.883999999999999,0.8420000000000001,0.02,0.147,282.1,12,2.7,1,33.6124115,-86.74354553,P19,12,P19L12,182,
183,07/10/2020 22:46:19.624,2.10602,13.761,0.925,0.012,0.17800000000000002,110.9,5,5.0,1,33.62909317,-86.73008728,P19,13,P19L13,183,
184,07/10/2020 22:46:25.768,2.0461,12.671,0.79,0.008,0.118,167.4,7,3.3,1,33.63020325,-86.72963715,P19,14,P19L14,184,
185,07/10/2020 22:47:37.448,2.04521,13.449000000000002,0.759,0.005,0.115,124.9,5,2.0,1,33.64324188,-86.72341156,P19,15,P19L15,185,
186,07/13/2020 21:55:37.564,2.31305,7.855,0.997,0.028,0.374,258.5,23,5.3,1,33.63211441,-86.7288208,P19,16,P19L16,186,
187,07/13/2020 22:18:56.246,2.82858,18.791,0.997,0.012,0.882,238.5,17,43.1,1,33.65260315,-86.72501373,P20,0,P20L0,187,
188,07/10/2020 23:13:51.131,2.53979,10.567,0.968,0.009000000000000001,0.57,259.9,20,91.5,2,33.65024567,-86.72343445,P20,1,P20L1,188,
189,07/10/2020 23:13:21.435,2.6065,11.611,0.969,0.009000000000000001,0.637,138.5,10,12.8,3,33.65358734,-86.72557831,P20,2,P20L2,189,
190,07/10/2020 23:26:04.417,2.33208,11.222,0.799,0.027000000000000003,0.332,64.9,10,5.4,2,33.65892410000001,-86.72081757,P20,3,P20L3,190,
191,07/10/2020 23:02:32.219,8.39257,96.436,0.999,0.014,6.444,192.9,20,17.4,3,33.65610886,-86.71117401,P20,4,P20L4,191,
192,07/08/2020 23:52:23.969,2.03798,2.11,0.867,0.019,0.081,139.0,10,1.4,1,33.65628433,-86.72457123,P20,5,P20L5,192,
193,07/10/2020 23:21:41.249,2.19233,9.394,0.7509999999999999,0.026,0.156,27.0,6,0.3,1,33.65613556,-86.7229538,P20,6,P20L6,193,
194,07/13/2020 22:06:42.652,2.0146,4.732,0.795,0.026,0.0,106.4,6,0.1,1,33.65709686,-86.71269226,P20,7,P20L7,194,
195,07/13/2020 22:23:57.609,2.26688,11.973,0.944,0.011,0.29100000000000004,233.5,20,7.9,1,33.65177155,-86.72451782,P20,8,P20L8,195,
196,07/09/2020 00:46:58.004,3.01818,9.892,0.993,0.006999999999999999,1.058,213.4,28,55.8,3,33.66760635,-86.70197296,P21,0,P21L0,196,
197,07/10/2020 23:56:40.552,6.08201,33.385,0.999,0.006999999999999999,4.082,176.1,22,41.2,2,33.68152237,-86.69111633,P21,1,P21L1,197,
198,07/11/2020 00:38:28.737,2.64538,1.834,0.969,0.005,0.644,192.9,25,20.4,2,33.67665482,-86.69676209,P21,2,P21L2,198,
199,07/09/2020 00:36:42.580,3.15554,13.625,0.989,0.006,1.196,154.4,17,11.6,2,33.67454147,-86.69634247,P21,3,P21L3,199,
200,07/11/2020 00:08:51.790,3.93863,13.52,0.996,0.005,1.908,64.6,10,19.1,5,33.67140198,-86.70906067,P21,4,P21L4,200,
201,07/13/2020 22:50:58.396,2.16065,8.738,0.904,0.017,0.212,349.2,14,30.1,2,33.66327667,-86.70537567,P21,5,P21L5,201,
202,07/09/2020 00:51:33.460,2.25069,2.651,0.809,0.004,0.282,133.9,8,8.1,2,33.65972519,-86.71747589,P21,6,P21L6,202,
203,07/09/2020 01:01:27.380,2.833,6.277,0.96,0.006,0.8690000000000001,243.1,19,24.7,3,33.68048096,-86.7012558,P21,7,P21L7,203,
204,07/11/2020 00:25:16.366,2.66969,1.834,0.97,0.006,0.645,135.2,20,11.0,3,33.67549896,-86.70542145,P21,8,P21L8,204,
205,07/13/2020 22:57:45.948,4.01812,23.297,0.99,0.006999999999999999,2.0540000000000003,103.6,16,22.6,2,33.68187714,-86.69181824,P21,9,P21L9,205,
206,07/09/2020 00:30:17.454,1.98824,6.8820000000000014,0.7959999999999999,0.008,0.033,87.9,7,0.2,1,33.67199326,-86.69725799999998,P21,10,P21L10,206,
207,07/09/2020 00:36:06.740,2.00593,5.4129999999999985,0.86,0.008,0.043,50.0,6,0.0,1,33.676338200000004,-86.69705963,P21,11,P21L11,207,
208,07/09/2020 00:51:19.124,2.18677,1.756,0.893,0.006999999999999999,0.218,115.8,8,7.1,1,33.65864563,-86.71552277,P21,12,P21L12,208,
209,07/11/2020 00:19:00.353,2.47471,0.8640000000000001,0.782,0.006,0.35700000000000004,138.8,15,11.0,1,33.67083359,-86.70847321,P21,13,P21L13,209,
210,07/11/2020 00:25:48.315,2.2718700000000003,-1.182,0.775,0.008,0.247,69.5,5,3.1,1,33.67612076,-86.70471954,P21,14,P21L14,210,
211,07/11/2020 00:48:06.580,2.50861,5.5420000000000025,0.959,0.006999999999999999,0.523,37.8,9,2.4,1,33.68218613,-86.69122314,P21,15,P21L15,211,
212,07/13/2020 22:58:22.812,2.2341,11.812,0.887,0.006999999999999999,0.27,227.3,24,11.6,1,33.68378448,-86.69483185,P21,16,P21L16,212,
213,07/13/2020 23:09:54.422,2.0049900000000003,8.467,0.7340000000000001,0.006999999999999999,0.039,20.0,6,0.1,1,33.6644783,-86.71746826,P21,17,P21L17,213,
214,07/13/2020 23:19:06.768,2.1743900000000003,4.107,0.838,0.019,0.199,158.6,22,4.0,1,33.67844009,-86.70471191,P21,18,P21L18,214,
215,07/01/2020 03:37:48.561,2.06016,10.753,0.903,0.015,0.115,132.0,16,0.9,4,33.65103912,-86.68325806,P23,0,P23L0,215,
216,07/01/2020 02:28:25.284,3.35031,17.738,0.993,0.006,1.422,113.8,16,24.2,2,33.65594101,-86.68289948,P23,1,P23L1,216,
217,07/07/2020 00:01:26.347,5.68126,6.152,0.992,0.002,3.751,178.3,23,30.2,4,33.65553284,-86.69728851,P23,2,P23L2,217,
218,07/07/2020 00:00:57.675,2.47297,2.036,0.915,0.005,0.5429999999999999,157.2,15,16.0,3,33.65505219,-86.6984787,P23,3,P23L3,218,
219,07/01/2020 03:11:15.627,2.3624400000000003,13.196,0.877,0.006999999999999999,0.398,90.1,10,2.7,1,33.65534973,-86.69850159,P23,4,P23L4,219,
220,07/01/2020 03:13:56.497,3.71654,14.234000000000002,0.963,0.002,1.786,152.4,18,27.7,3,33.6532402,-86.69817352,P23,5,P23L5,220,
221,07/02/2020 03:56:33.012,2.26523,0.884,0.878,0.009000000000000001,0.314,160.6,11,4.0,3,33.65233231,-86.70053101,P23,6,P23L6,221,
222,07/01/2020 03:35:56.945,4.40231,15.959,0.973,0.002,2.465,168.3,20,24.1,3,33.64936066,-86.68881226,P23,7,P23L7,222,
223,07/02/2020 02:49:44.257,2.70361,14.404000000000002,0.95,0.006,0.743,105.4,11,10.2,3,33.65959167,-86.68556976,P23,8,P23L8,223,
224,07/02/2020 03:05:38.318,2.94279,4.351,0.955,0.004,0.969,140.7,14,11.4,2,33.65117645,-86.68998718,P23,9,P23L9,224,
225,07/06/2020 23:45:28.497,2.06438,0.752,0.8390000000000001,0.014,0.145,181.2,18,2.5,2,33.65719604,-86.69108582,P23,10,P23L10,225,
226,07/02/2020 03:25:38.446,12.5721,67.001,1.0,0.006,10.634,42.8,14,65.3,3,33.65731049,-86.69541931,P23,11,P23L11,226,
227,07/01/2020 02:29:22.628,2.0531900000000003,10.133,0.805,0.017,0.125,38.7,9,0.3,1,33.65537262,-86.68725586,P23,12,P23L12,227,
228,07/01/2020 03:03:04.516,2.07491,12.251,0.918,0.025,0.123,116.1,14,1.5,1,33.65378189,-86.704422,P23,13,P23L13,228,
229,07/01/2020 03:04:01.963,2.1655900000000003,11.825,0.812,0.006999999999999999,0.207,108.5,11,1.9,1,33.65384674,-86.69850922,P23,14,P23L14,229,
230,07/01/2020 03:06:05.969,2.39399,11.745,0.8190000000000001,0.004,0.435,90.7,10,3.6,1,33.65618896,-86.70419312,P23,15,P23L15,230,
231,07/01/2020 03:10:04.971,2.08128,10.194,0.8079999999999999,0.011,0.117,81.8,8,0.8,1,33.6546402,-86.6995697,P23,16,P23L16,231,
232,07/01/2020 03:19:10.046,2.9432400000000003,12.755,0.895,0.003,1.005,205.0,14,31.3,1,33.64934158,-86.68682098,P23,17,P23L17,232,
233,07/01/2020 03:41:31.998,2.6104700000000003,14.365,0.951,0.006999999999999999,0.669,200.9,16,13.4,1,33.6595993,-86.68260193,P23,18,P23L18,233,
234,07/01/2020 03:46:07.659,2.26063,12.469,0.83,0.006999999999999999,0.304,290.4,16,2.9,1,33.65336609,-86.6829071,P23,19,P23L19,234,
235,07/02/2020 02:50:11.905,2.28143,11.755999999999998,0.8490000000000001,0.006,0.299,66.0,9,1.3,1,33.66008759,-86.68656158,P23,20,P23L20,235,
236,07/02/2020 02:56:19.726,2.23539,7.312,0.8420000000000001,0.006,0.219,129.2,17,0.8,1,33.65131760000001,-86.68855286,P23,21,P23L21,236,
237,07/02/2020 03:22:10.472,2.56103,-0.042,0.983,0.006999999999999999,0.625,13.1,6,0.8,1,33.65493011,-86.69610596,P23,22,P23L22,237,
238,07/02/2020 03:24:40.078,2.0935,-1.156,0.794,0.006,0.156,85.9,10,0.5,1,33.65585327,-86.69395447,P23,23,P23L23,238,
239,07/02/2020 04:01:51.886,2.27468,2.528,0.8759999999999999,0.008,0.32,161.2,13,2.9,1,33.64941406,-86.69174194,P23,24,P23L24,239,
240,07/06/2020 23:39:37.265,2.49158,3.138,0.968,0.008,0.57,80.8,17,0.5,1,33.65982437,-86.69422913,P23,25,P23L25,240,
241,07/06/2020 23:40:18.225,2.44673,3.0380000000000003,0.98,0.006999999999999999,0.525,31.9,15,1.9,1,33.65982437,-86.69422913,P23,26,P23L26,241,
242,07/06/2020 23:42:07.793,3.91488,1.702,0.868,0.001,1.991,34.6,14,3.3,1,33.65828323,-86.6955719,P23,27,P23L27,242,
243,07/07/2020 00:15:57.771,2.02321,-2.869,0.748,0.016,0.09,15.2,6,0.1,1,33.64917374,-86.68377686,P23,28,P23L28,243,
244,07/07/2020 00:18:42.635,2.39231,-2.9410000000000003,0.928,0.006,0.469,264.2,17,24.2,1,33.66172409,-86.68128204,P23,29,P23L29,244,
245,07/07/2020 00:21:07.019,1.96134,-5.655,0.758,0.016,0.033,123.2,7,0.2,1,33.65462494,-86.68274689,P23,30,P23L30,245,
246,06/15/2020 21:04:44.398,2.74653,16.602999999999998,0.9890000000000001,0.009000000000000001,0.6970000000000001,214.2,12,39.9,2,33.706867218,-86.58829498290001,P1,0,P1L0,246,
247,06/17/2020 02:27:42.558,2.56965,7.987999999999999,0.978,0.011000000000000001,0.545,270.4,23,5.2,3,33.749111175500005,-86.59404754639999,P1,1,P1L1,247,
248,06/17/2020 02:00:49.963,3.02435,12.001,0.992,0.009000000000000001,1.002,289.4,16,35.9,2,33.7056388855,-86.60827636719999,P1,2,P1L2,248,
249,06/17/2020 01:49:05.246,2.40117,4.734,0.9,0.006999999999999999,0.38299999999999995,87.6,17,3.1,2,33.6394462585,-86.6150360107,P1,3,P1L3,249,
250,06/15/2020 21:08:21.691,2.14998,14.175,0.8270000000000001,0.018000000000000002,0.128,244.3,17,1.6,1,33.7198867798,-86.5886993408,P1,4,P1L4,250,
251,06/15/2020 21:08:58.760,2.73588,21.070999999999998,0.9790000000000001,0.011000000000000001,0.7140000000000001,126.8,9,9.2,1,33.7231674194,-86.58470153809998,P1,5,P1L5,251,
252,06/15/2020 21:29:51.521,2.1482,3.766,0.752,0.013000000000000001,0.11199999999999999,188.9,13,1.3,1,33.7465629578,-86.6012039185,P1,6,P1L6,252,
253,06/15/2020 21:46:01.761,2.1899599999999997,5.033,0.8220000000000001,0.01,0.139,155.1,20,0.8,1,33.7381477356,-86.61298370360001,P1,7,P1L7,253,
254,06/16/2020 02:06:35.681,2.26132,5.396,0.777,0.01,0.19699999999999998,259.2,13,4.3,1,33.6583709717,-86.6431427002,P1,8,P1L8,254,
255,06/16/2020 02:12:04.692,2.23628,4.716,0.8340000000000001,0.009000000000000001,0.183,151.2,9,2.2,1,33.6978912354,-86.6127243042,P1,9,P1L9,255,
256,06/16/2020 02:41:57.000,2.1846200000000002,5.727,0.7559999999999999,0.013999999999999999,0.16,161.6,8,2.8,1,33.7488899231,-86.59441375729998,P1,10,P1L10,256,
257,06/17/2020 02:00:12.075,2.2156599999999997,4.801,0.877,0.011000000000000001,0.19399999999999998,276.4,18,6.0,1,33.7030258179,-86.6026306152,P1,11,P1L11,257,
258,06/17/2020 21:02:16.038,2.80302,10.823,0.9940000000000001,0.008,0.8340000000000001,300.7,17,18.6,8,33.705646514899996,-86.6083221436,P2,0,P2L0,258,
259,06/16/2020 23:26:07.608,4.53517,34.047,0.997,0.008,2.48,227.6,14,59.0,3,33.706840515100005,-86.58834838870001,P3,0,P3L0,259,
260,06/16/2020 23:23:41.176,2.56805,20.315,0.945,0.009000000000000001,0.544,172.9,10,19.1,2,33.705604553200004,-86.60794830319998,P3,1,P3L1,260,
261,06/15/2020 23:27:51.048,2.2513900000000002,12.802999999999999,0.838,0.013999999999999999,0.221,170.8,13,3.0,1,33.7030982971,-86.60285186770002,P3,2,P3L2,261,
262,06/16/2020 00:10:45.076,2.30605,4.166,0.9009999999999999,0.008,0.301,235.6,14,4.3,1,33.7029800415,-86.5475158691,P3,3,P3L3,262,
263,06/16/2020 23:27:12.222,2.50858,18.8,0.981,0.011000000000000001,0.455,197.8,19,2.6,1,33.7075042725,-86.5873947144,P3,4,P3L4,263,
264,06/16/2020 23:44:16.836,2.0527599999999997,4.261,0.7490000000000001,0.008,0.038,31.8,5,0.1,1,33.6796417236,-86.5649337769,P3,5,P3L5,264,
265,06/16/2020 23:50:59.780,3.65674,8.187000000000001,0.9470000000000001,0.002,1.6230000000000002,90.6,17,8.7,1,33.6780014038,-86.5537109375,P3,6,P3L6,265,
266,06/16/2020 23:54:01.131,2.17194,5.9079999999999995,0.765,0.01,0.149,55.7,7,0.5,1,33.682209014899996,-86.5501480103,P3,7,P3L7,266,
267,06/17/2020 00:05:51.684,2.42073,4.098,0.9309999999999999,0.005,0.415,134.5,28,3.0,1,33.695903778099996,-86.54203033450001,P3,8,P3L8,267,
268,06/17/2020 22:13:52.025,2.05068,6.981,0.752,0.017,0.07200000000000001,95.2,6,0.7,1,33.7041282654,-86.60369873049999,P3,9,P3L9,268,
269,06/17/2020 23:55:27.283,2.5956,10.765999999999998,0.9620000000000001,0.011000000000000001,0.596,323.2,36,16.6,4,33.7074241638,-86.5874023438,P4,0,P4L0,269,
270,06/16/2020 00:22:28.974,2.16846,4.596,0.821,0.011000000000000001,0.16899999999999998,278.5,18,2.4,2,33.7173080444,-86.57537841799999,P4,1,P4L1,270,
271,06/18/2020 00:18:32.857,2.7688,17.680999999999994,0.983,0.011000000000000001,0.7809999999999999,286.9,22,87.3,5,33.7242889404,-86.56175994870001,P4,2,P4L2,271,
272,06/17/2020 23:57:29.139,2.85338,18.597,0.993,0.015,0.841,268.2,15,19.1,5,33.7183189392,-86.57409667969999,P4,3,P4L3,272,
273,06/16/2020 00:45:24.513,2.2827900000000003,10.001,0.865,0.01,0.261,339.0,19,5.3,4,33.7110328674,-86.58288574219999,P4,4,P4L4,273,
274,06/17/2020 23:47:54.060,3.62448,31.448,0.996,0.013999999999999999,1.6019999999999999,134.5,8,44.9,3,33.7068328857,-86.58834075930002,P4,5,P4L5,274,
275,06/17/2020 00:50:12.753,2.5037599999999998,8.729,0.97,0.01,0.461,116.2,8,7.4,1,33.706977844200004,-86.58812713620001,P4,6,P4L6,275,
276,06/16/2020 00:21:27.534,2.08739,2.5780000000000003,0.784,0.016,0.09,121.2,8,0.8,1,33.711578369099996,-86.5820770264,P4,7,P4L7,276,
