,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,PolyLK,Unnamed: 0,win
11,07/28/2020 00:43:24.284,2.4815,3.563,0.853,0.005,0.495,67.9,5,3.5,1,33.64028168,-86.68189240000001,P34,12,P34L12,12,True
12,07/28/2020 00:53:04.892,2.1819,3.125,0.79,0.006999999999999999,0.19399999999999998,62.2,6,0.8,1,33.64024353,-86.68022919,P34,13,P34L13,13,True
13,08/11/2020 23:54:48.348,2.65971,10.569,0.9159999999999999,0.01,0.616,112.9,9,13.5,1,33.64193344,-86.66631317,P34,14,P34L15,15,True
14,08/11/2020 23:56:31.772,2.8165400000000003,12.064,0.953,0.01,0.773,84.2,7,7.8,1,33.64196014,-86.66519165,P34,15,P34L16,16,True
15,08/11/2020 23:59:51.555,2.33892,10.042,0.973,0.015,0.298,105.2,16,3.2,1,33.64126205,-86.6732254,P34,16,P34L17,17,True
16,08/12/2020 00:06:03.472,2.18696,7.837000000000001,0.845,0.026000000000000002,0.128,58.2,5,1.1,1,33.64476776,-86.67736053,P34,17,P34L18,18,True
17,08/12/2020 00:06:42.384,2.18302,8.02,0.9279999999999999,0.032,0.11800000000000001,74.5,12,0.7,1,33.64422226,-86.67734528,P34,18,P34L19,19,True
18,08/12/2020 00:10:03.497,2.16151,5.39,0.7509999999999999,0.016,0.11900000000000001,81.6,7,1.2,1,33.6447525,-86.68203735,P34,19,P34L20,20,True
19,08/12/2020 00:13:07.817,2.53241,7.662999999999999,0.86,0.006,0.49200000000000005,158.0,16,13.5,1,33.64462662,-86.67939758,P34,20,P34L21,21,True
0,06/24/2020 23:27:28.640,1.9983099999999998,4.6530000000000005,0.924,0.021,0.122,7.4,21,0.1,3,33.6399498,-86.61437988,P6,0,P6L0,0,
1,06/24/2020 23:41:24.838,3.4415400000000003,9.604,0.998,0.008,1.5390000000000001,190.6,22,12.9,2,33.68299484,-86.62095642,P6,1,P6L1,1,
2,06/25/2020 01:12:53.273,2.41266,17.304000000000002,0.987,0.012,0.535,328.5,22,13.6,2,33.69768524,-86.61309814,P6,2,P6L2,2,
3,07/20/2020 23:15:36.752,2.56509,0.16399999999999998,0.955,0.008,0.58,301.7,18,17.1,3,33.70560455,-86.60807037,P6,3,P6L3,3,
4,06/25/2020 01:16:45.926,3.7298400000000003,24.057,0.998,0.009000000000000001,1.849,175.7,18,30.2,2,33.69096375,-86.62664795,P6,4,P6L4,4,
5,07/20/2020 22:18:57.174,2.2883,6.5360000000000005,0.981,0.011000000000000001,0.35200000000000004,170.5,19,4.9,2,33.68420792,-86.59925842,P6,5,P6L5,5,
6,06/24/2020 23:12:59.059,2.0132,5.11,0.98,0.085,0.08,48.0,32,0.3,1,33.64469147,-86.60262299,P6,6,P6L6,6,
7,06/24/2020 23:33:08.915,1.8835400000000002,6.2010000000000005,0.856,0.07,0.01,123.4,7,0.1,1,33.64774704,-86.6325531,P6,7,P6L7,7,
8,06/24/2020 23:55:32.096,1.9314,7.045,0.893,0.073,0.019,88.9,10,0.0,1,33.67608643,-86.61362457,P6,8,P6L8,8,
9,06/24/2020 23:56:41.728,1.91642,5.367999999999999,0.792,0.048,0.012,10.7,7,0.1,1,33.68012238,-86.61462402,P6,9,P6L9,9,
10,06/25/2020 00:33:42.374,1.96071,9.872,0.8340000000000001,0.013000000000000001,0.087,67.3,9,0.1,1,33.67350006,-86.58868408,P6,10,P6L10,10,
11,06/25/2020 00:53:31.545,3.6244,7.183,0.991,0.005,1.7309999999999999,193.9,17,52.6,1,33.71308899,-86.6219635,P6,11,P6L11,11,
12,06/25/2020 01:08:09.420,2.20151,7.521,0.9309999999999999,0.015,0.324,311.9,20,9.9,1,33.70458984,-86.60411072,P6,12,P6L12,12,
13,06/25/2020 01:09:39.532,2.34553,13.277000000000001,0.914,0.01,0.444,246.2,17,4.2,1,33.69856644,-86.60898590000002,P6,13,P6L13,13,
14,06/25/2020 01:13:27.168,2.12683,11.51,0.848,0.012,0.249,227.4,14,4.5,1,33.69421768,-86.61663055,P6,14,P6L14,14,
15,06/25/2020 01:14:13.350,2.22912,11.681,0.9420000000000001,0.01,0.35200000000000004,189.3,12,5.4,1,33.69033051,-86.62141418,P6,15,P6L15,15,
16,06/25/2020 01:18:03.750,1.9334,7.754,0.765,0.011000000000000001,0.05,43.0,5,0.1,1,33.69134521,-86.62870026,P6,16,P6L16,16,
17,06/25/2020 01:18:31.398,3.1360200000000003,20.866999999999997,0.997,0.011000000000000001,1.247,156.1,12,27.4,1,33.69039154,-86.62908173,P6,17,P6L17,17,
18,06/25/2020 01:27:50.707,1.9201099999999998,-1.2770000000000001,0.721,0.009000000000000001,0.044000000000000004,79.1,5,0.3,1,33.68862152,-86.6217041,P6,18,P6L18,18,
19,06/25/2020 01:31:50.425,2.32998,0.83,0.8959999999999999,0.006999999999999999,0.446,207.0,11,9.3,1,33.65844727,-86.64303589,P6,19,P6L19,19,
20,07/20/2020 22:06:25.968,2.04999,12.198,0.996,0.081,0.187,4581.9,8,0.1,1,33.69073486,-86.62015533,P6,20,P6L20,20,
21,07/20/2020 22:08:12.464,2.05927,12.014000000000001,0.764,0.019,0.196,117.4,7,5.4,1,33.69804764,-86.61226654,P6,21,P6L21,21,
22,07/20/2020 23:10:16.035,2.03627,1.218,0.852,0.06,0.008,52.3,7,0.1,1,33.71040726,-86.62779999,P6,22,P6L22,22,
23,07/20/2020 23:11:45.123,2.01612,-0.5,0.879,0.062,0.03,55.3,5,0.1,1,33.70700073,-86.63384247,P6,23,P6L23,23,
24,07/07/2020 01:21:18.155,5.12269,16.485,0.9990000000000001,0.006999999999999999,3.201,297.4,25,22.3,5,33.64569855,-86.69187164,P24,0,P24L0,24,
25,07/11/2020 01:49:27.963,2.77105,16.48,0.977,0.008,0.8170000000000001,151.4,18,13.7,2,33.64844894,-86.69055176,P24,1,P24L1,25,
26,07/11/2020 01:31:20.168,2.1504,0.6890000000000001,0.8740000000000001,0.011000000000000001,0.156,176.6,16,2.9,2,33.64490509,-86.69421387,P24,2,P24L2,26,
27,07/09/2020 02:51:11.905,2.87995,1.276,0.9690000000000001,0.008,0.625,133.5,13,9.5,2,33.63854599,-86.68863678,P24,3,P24L3,27,
28,07/07/2020 00:59:04.600,2.03493,-4.301,0.807,0.013000000000000001,0.10300000000000001,28.8,7,0.0,1,33.64944839,-86.69602203,P24,4,P24L4,28,
29,07/07/2020 01:01:59.089,1.9481700000000002,-5.405,0.7440000000000001,0.025,0.018000000000000002,48.1,5,0.1,1,33.64375305,-86.70781708,P24,5,P24L5,29,
30,07/07/2020 01:36:13.438,1.93346,-6.447,0.892,0.091,0.013999999999999999,82.9,7,0.1,1,33.64161682,-86.68733978,P24,6,P24L6,30,
31,07/07/2020 01:41:19.614,1.9605099999999998,-1.735,0.935,0.081,0.057999999999999996,116.1,9,0.5,1,33.63938522,-86.68372345,P24,7,P24L7,31,
32,07/09/2020 02:16:22.331,2.4235,0.91,0.987,0.01,0.502,643.9,8,1.5,1,33.64568329,-86.68006897,P24,8,P24L8,32,
33,07/09/2020 02:19:39.246,2.3226299999999998,0.785,0.848,0.02,0.033,65.5,5,0.4,1,33.65043259,-86.68323517,P24,9,P24L9,33,
34,07/09/2020 02:25:07.233,2.34058,1.112,0.74,0.01,0.11800000000000001,38.7,5,0.9,1,33.64560699,-86.69306946,P24,10,P24L10,34,
35,07/09/2020 02:32:59.912,2.64519,0.655,0.84,0.011000000000000001,0.385,170.3,10,10.5,1,33.64460754,-86.70862579,P24,11,P24L11,35,
36,07/09/2020 02:43:41.038,2.35935,-0.532,0.835,0.027999999999999997,0.09300000000000001,82.2,9,0.8,1,33.64339066,-86.69467163,P24,12,P24L12,36,
37,07/09/2020 03:00:22.612,2.63565,-0.04,0.8,0.005,0.278,163.2,18,3.4,1,33.64325333,-86.68529511,P24,13,P24L13,37,
38,07/09/2020 03:03:15.771,2.39752,1.597,0.8190000000000001,0.095,0.039,51.4,7,0.4,1,33.64300156,-86.68733978,P24,14,P24L14,38,
39,07/09/2020 03:11:46.337,2.70344,3.4,0.815,0.005,0.4,130.2,12,5.6,1,33.64207459,-86.68888092,P24,15,P24L15,39,
40,07/09/2020 03:18:39.009,2.8104400000000003,7.94,0.9570000000000001,0.011000000000000001,0.45,220.9,12,7.7,1,33.650383000000005,-86.66543579,P24,16,P24L16,40,
41,07/11/2020 01:21:50.516,2.18614,0.633,0.83,0.036000000000000004,0.078,105.0,21,0.9,1,33.64137268,-86.71153259,P24,17,P24L17,41,
42,07/11/2020 01:34:03.086,2.1463900000000002,5.207000000000002,0.8759999999999999,0.026000000000000002,0.14,184.0,13,3.8,1,33.63987732,-86.69228363,P24,18,P24L18,42,
43,07/11/2020 02:00:18.305,2.01765,0.419,0.8540000000000001,0.019,0.09,110.0,12,1.1,1,33.64927673,-86.69306183,P24,19,P24L19,43,
44,07/11/2020 02:09:42.120,2.6802,2.9,0.971,0.006,0.742,156.3,20,15.8,1,33.64209747,-86.68932343,P24,20,P24L20,44,
45,07/18/2020 21:44:17.812,3.9516699999999996,15.089,0.996,0.006,2.032,85.4,14,16.6,5,33.65302277,-86.67773438,P25,0,P25L0,45,
46,07/14/2020 00:39:26.019,2.95182,21.469,0.988,0.008,0.9420000000000001,219.2,14,30.4,5,33.6456871,-86.6809082,P25,1,P25L1,46,
47,07/14/2020 00:21:18.428,2.6486099999999997,7.423999999999999,0.9740000000000001,0.009000000000000001,0.643,209.0,18,11.9,3,33.64757156,-86.68054199,P25,2,P25L2,47,
48,07/18/2020 21:17:29.211,2.42424,11.693,0.973,0.008,0.479,261.7,25,17.6,3,33.64704132,-86.67832184,P25,3,P25L3,48,
49,07/14/2020 00:38:36.867,3.2437099999999996,22.853,0.9890000000000001,0.006999999999999999,1.234,107.1,10,21.9,2,33.64639664,-86.67357636,P25,4,P25L4,49,
50,07/18/2020 21:35:39.156,2.37372,15.509,0.8809999999999999,0.005,0.386,256.8,16,7.6,1,33.64568329,-86.68138123,P25,5,P25L5,50,
51,07/15/2020 23:52:48.710,2.39837,2.713,0.981,0.011000000000000001,0.45799999999999996,181.9,19,5.3,2,33.65421295,-86.66904449,P25,6,P25L6,51,
52,07/16/2020 00:01:45.491,4.13969,8.573,0.997,0.006999999999999999,2.19,161.2,20,43.0,6,33.65369034,-86.67127991,P25,7,P25L7,52,
53,07/16/2020 00:04:31.379,2.49562,2.9589999999999996,0.9790000000000001,0.011000000000000001,0.5670000000000001,218.7,22,7.2,3,33.66133499,-86.67314148,P25,8,P25L8,53,
54,07/15/2020 23:31:03.827,2.24122,6.0729999999999995,0.955,0.013999999999999999,0.264,176.4,19,6.0,2,33.64870834,-86.67584991,P25,9,P25L9,54,
55,07/15/2020 23:32:29.843,2.17786,7.152,0.9390000000000001,0.016,0.201,161.6,16,2.9,3,33.64573288,-86.67501068,P25,10,P25L10,55,
56,07/15/2020 23:43:55.001,2.47147,7.475,0.977,0.013000000000000001,0.515,282.2,17,8.2,2,33.65131760000001,-86.67904663,P25,11,P25L11,56,
57,07/16/2020 00:06:41.427,2.09538,-1.2429999999999999,0.898,0.017,0.161,139.9,15,1.4,2,33.65028381,-86.67227173,P25,12,P25L12,57,
58,07/18/2020 21:33:08.628,2.3155200000000002,15.613,0.912,0.006999999999999999,0.33399999999999996,199.5,18,3.3,2,33.6478157,-86.67149353,P25,13,P25L13,58,
59,07/18/2020 22:16:59.592,2.00365,3.676,0.9009999999999999,0.08800000000000001,0.064,83.4,8,0.6,2,33.64884949,-86.66960907,P25,14,P25L14,59,
60,07/14/2020 00:01:12.464,2.61735,2.0669999999999997,0.96,0.008,0.24600000000000002,334.2,21,4.4,1,33.66630173,-86.66742706,P25,15,P25L15,60,
61,07/14/2020 00:04:40.336,2.0144,-0.5579999999999999,0.767,0.037000000000000005,0.035,38.9,6,0.1,1,33.65127563,-86.67364502,P25,16,P25L16,61,
62,07/14/2020 00:08:50.396,2.04084,1.534,0.763,0.09,0.059000000000000004,20.0,6,0.2,1,33.65383148,-86.67549133,P25,17,P25L17,62,
63,07/14/2020 00:17:15.638,2.3300799999999997,4.354,0.953,0.01,0.319,294.8,19,13.2,1,33.65109634,-86.67980957,P25,18,P25L18,63,
64,07/14/2020 00:19:19.542,2.0598400000000003,5.8870000000000005,0.9440000000000001,0.1,0.054000000000000006,14.6,6,0.1,1,33.65104294,-86.68330383,P25,19,P25L19,64,
65,07/14/2020 00:33:55.267,3.25085,18.416,0.98,0.005,1.248,253.8,24,23.1,1,33.65097046,-86.67568207,P25,20,P25L20,65,
66,07/14/2020 00:48:24.336,2.56153,16.392,0.9690000000000001,0.008,0.589,119.5,21,4.4,1,33.65398407,-86.67015839,P25,21,P25L21,66,
67,07/14/2020 00:55:56.227,2.04126,9.709,0.7190000000000001,0.011000000000000001,0.07200000000000001,44.6,5,0.3,1,33.65076065,-86.67112732,P25,22,P25L22,67,
68,07/15/2020 23:37:28.953,2.0659799999999997,2.546,0.77,0.009000000000000001,0.098,68.1,9,0.4,1,33.64902878,-86.67829132,P25,23,P25L23,68,
69,07/15/2020 23:48:08.032,2.07151,2.101,0.8340000000000001,0.02,0.115,87.1,11,1.2,1,33.6534729,-86.66579437,P25,24,P25L24,69,
70,07/15/2020 23:49:46.336,2.07125,0.513,0.792,0.017,0.115,64.1,5,1.1,1,33.65399933,-86.66580963,P25,25,P25L25,70,
71,07/15/2020 23:55:29.478,2.04838,-0.732,0.87,0.013999999999999999,0.111,75.2,8,0.5,1,33.65431595,-86.66994476,P25,26,P25L26,71,
72,07/16/2020 00:11:06.028,2.0737,1.192,0.955,0.018000000000000002,0.14400000000000002,212.9,18,2.9,1,33.65118027,-86.67613983,P25,27,P25L27,72,
73,07/16/2020 00:20:05.369,1.9766,4.917,0.7609999999999999,0.017,0.018000000000000002,51.0,5,0.1,1,33.65109634,-86.68225861,P25,28,P25L28,73,
74,07/18/2020 21:20:27.387,2.01666,11.335999999999999,0.9229999999999999,0.099,0.057999999999999996,77.7,11,0.4,1,33.64629364,-86.67498016,P25,29,P25L29,74,
75,07/18/2020 21:53:32.001,1.9825400000000002,7.2639999999999985,0.772,0.055,0.019,50.0,6,0.1,1,33.66254044,-86.67045593,P25,30,P25L30,75,
76,07/18/2020 22:18:47.214,2.04296,0.175,0.8190000000000001,0.028999999999999998,0.087,11.9,5,0.1,1,33.64517975,-86.67331696,P25,31,P25L31,76,
77,07/14/2020 02:06:35.996,2.1734299999999998,1.571,0.7909999999999999,0.006,0.075,109.0,7,0.3,2,33.61377335,-86.69168854,P26,0,P26L0,77,
78,07/18/2020 22:50:05.537,3.13614,17.129,0.988,0.008,1.205,210.8,18,28.1,4,33.61897659,-86.70542145,P26,1,P26L1,78,
79,07/15/2020 22:09:45.184,3.7608599999999996,21.947,0.991,0.005,1.7919999999999998,272.3,23,98.5,5,33.61512375,-86.69971466,P26,2,P26L2,79,
80,07/15/2020 22:46:02.720,2.69949,16.847,0.883,0.003,0.732,155.8,9,19.1,2,33.61360168,-86.69036865,P26,3,P26L3,80,
81,07/15/2020 21:59:20.134,2.00261,18.951,0.9570000000000001,0.077,0.06,0.4,40,0.1,2,33.61348724,-86.68754578,P26,4,P26L4,81,
82,07/14/2020 02:06:19.612,2.91568,6.9239999999999995,0.9620000000000001,0.008,0.8170000000000001,94.8,16,7.6,1,33.61393356,-86.68984985,P26,5,P26L5,82,
83,07/14/2020 02:15:50.390,2.26654,0.39,0.795,0.006999999999999999,0.20800000000000002,61.2,6,0.9,1,33.6156044,-86.70702362,P26,6,P26L6,83,
84,07/14/2020 02:19:56.355,2.1646,-1.5,0.8029999999999999,0.018000000000000002,0.1,28.6,8,0.2,1,33.61795807,-86.69664001,P26,7,P26L7,84,
85,07/14/2020 02:24:13.379,2.10127,6.7570000000000014,0.778,0.013999999999999999,0.043,139.7,10,0.4,1,33.61160278,-86.70001984,P26,8,P26L8,85,
